Date,tipo_cambio
2023-02-08,"188,815"
2023-02-09,"1,893,445"
2023-02-10,"18,778,299"
2023-02-13,"186,784"
2023-02-14,"18,565,041"
2023-02-15,"18,504,801"
2023-02-16,"18,584,551"
2023-02-17,"18,548,719"
2023-02-20,"18,367,371"
2023-02-21,"18,385,201"
2023-02-22,"18,429,899"
2023-02-23,"1,836,458"
2023-02-24,"1,836,866"
2023-02-27,"18,391,331"
2023-02-28,"18,366,899"
2023-03-01,"1,830,094"
2023-03-02,"18,115,971"
2023-03-03,"18,105,301"
2023-03-06,"17,978,001"
2023-03-07,"18,019,131"
